EmployeeID,Name,Department,Salary
1,Benjamin Campbell,Finance,105000.36
2,Sharon Mccormick,Sales,56231.32
3,Raymond Bass,Operations,98139.01
4,Patrick Martin,IT,108957.84
5,Kimberly Smith,IT,111029.13
6,George Fernandez,Finance,59529.8
7,Jennifer Nelson,Finance,117890.28
8,Jamie Harmon,Marketing,126438.36
9,Linda Mitchell,Operations,125211.5
10,Jesse Sims,Operations,142253.12
11,Debra Lucas,IT,106317.5
12,Edward Bruce,Finance,100736.67
13,Jeremy Madden,Sales,92343.17
14,Valerie Sanchez,HR,47601.22
15,Tammy Reed,Finance,116758.02
16,Daniel Allen,IT,111760.32
17,Kyle Edwards,HR,145523.87
18,Keith Singleton,IT,41285.4
19,Daniel Anderson,Sales,33780.61
20,Stephen Ward,IT,123524.17
21,Amanda Krause,Finance,99045.78
22,Matthew Allen,Sales,71187.41
23,Larry Clark,IT,64964.09
24,Cassandra Wallace,Operations,106392.72
25,Janet Simmons,Marketing,74005.51
26,David Obrien,Operations,73045.7
27,Brian Jones,IT,105554.67
28,Donald Hancock,Marketing,60493.44
29,Lori Ingram,IT,97668.74
30,David Kline,Operations,130877.49
31,Brandon Williams,Marketing,106910.85
32,Joshua Mendez,Operations,37673.92
33,Cynthia Howard,IT,57431.07
34,Anthony Jackson,HR,100234.46
35,Amy Martinez,Operations,35094.49
36,Gabriela Pierce,IT,129052.83
37,Stephanie Moore,Sales,118740.84
38,Michael Alvarado,Sales,64317.0
39,Jonathan Pham,Marketing,114289.32
40,Rachel Simpson,Marketing,134924.09
41,Richard Mcfarland,Marketing,32988.66
42,Kristina Duran,Marketing,61532.78
43,Lisa Mitchell,Operations,98435.72
44,Joseph Welch,Operations,105584.93
45,John Valdez,Operations,120969.94
46,Dr. Christian Rivas,Sales,120727.48
47,Stephanie Cruz,IT,51265.37
48,Jessica Alexander,HR,51199.91
49,Kristen Oliver,Operations,139412.19
50,Michael Welch,Sales,33560.56
51,Gary Henson,Marketing,54279.08
52,Heather Page,Marketing,93951.44
53,Stephanie Merritt,Operations,97556.42
54,James Allen,Finance,103891.0
55,Matthew Cummings,Finance,76565.78
56,Gary Kramer,Operations,73569.84
57,Adam Arnold,HR,94812.0
58,Ronnie Alexander,IT,136759.63
59,Adam Moss,HR,147167.18
60,William Allison,Operations,115446.13
61,Ann Patterson,IT,141800.42
62,Dawn Espinoza,HR,100877.85
63,James Anderson,IT,78869.46
64,Mary Levine,Sales,33319.97
65,Jillian Johnson,Marketing,136279.7
66,Christopher Osborn,Marketing,59917.99
67,Amanda Calderon,HR,36544.35
68,Charles Herrera,IT,83407.43
69,Gabriela Liu,Marketing,82035.38
70,Kristy Flynn,Operations,46326.8
71,Roy Quinn,Sales,134781.55
72,Bobby James DDS,HR,82434.35
73,Anthony Simpson,IT,90010.71
74,Kevin Hernandez,HR,139077.84
75,Erin Hatfield,Marketing,78399.97
76,Alan Simpson,Finance,65341.22
77,Theresa Silva,HR,39742.8
78,Ashlee Silva,Finance,98555.65
79,Toni Wyatt,Finance,125350.4
80,Lisa King,IT,102098.19
81,Joshua Matthews,HR,105721.11
82,Michele Donovan,Marketing,67656.57
83,Chris Jordan,Marketing,136765.05
84,Ethan Marks,Marketing,84879.23
85,Jose Lutz,HR,116970.42
86,Clayton Burke,Sales,89969.97
87,John Smith,Operations,47891.94
88,Kelly Ramos,Marketing,77784.77
89,Veronica Martinez,Finance,39021.88
90,Brittany Vazquez,IT,109797.72
91,Ashley Long,Finance,84919.7
92,Janet Crawford,Finance,148226.5
93,Heather Wheeler,Marketing,40743.99
94,Stephen Smith,Sales,97745.34
95,Sean Garcia,Sales,67787.14
96,Tyler Potter,Marketing,114292.1
97,Sandra Butler,HR,39503.76
98,Brian Flores,IT,90282.38
99,Gregory Shepard,Operations,56936.63
100,Dwayne Higgins,Finance,68741.07
101,Kirk Rice,Sales,86700.17
102,Jose Welch,Marketing,140949.1
103,Jacob Tucker,Marketing,120461.53
104,Breanna Johnson,Sales,107968.25
105,Gina King,HR,49050.66
106,Shannon Lewis,Finance,77408.65
107,Juan Reyes,HR,100598.08
108,Angela Burns,Operations,45829.09
109,Richard Mooney,Finance,105243.17
110,Matthew Bennett,HR,127905.56
111,Susan Jones,Sales,64750.32
112,Brett Gonzalez,IT,109796.85
113,Brittany Smith MD,HR,111684.92
114,Brian Lee,HR,61532.76
115,Walter Jones,Operations,42522.07
116,Frances Wilkins,Marketing,119182.26
117,Christina Spears,HR,49743.26
118,Emily Roberts,Finance,125751.17
119,Robert Wyatt,Operations,55064.72
120,Dylan Jarvis,HR,63864.88
121,James Esparza,HR,62217.69
122,Shannon Jordan,Marketing,52309.86
123,Melvin Herring,Operations,94607.19
124,Stephanie Gray,Finance,149369.15
125,Cindy Richmond,IT,90840.03
126,Lawrence Collins,Finance,148079.89
127,Victor Thompson,IT,43995.97
128,Robert Knight,HR,75021.17
129,Brenda Collins,Marketing,125330.76
130,Lindsey Gonzalez,IT,74564.46
131,Shawn Cook,HR,102434.09
132,Terry White,Finance,74568.82
133,Amanda Novak,Finance,87570.93
134,Jeffrey Martinez,IT,128625.7
135,Matthew Todd,Finance,70135.85
136,Deanna Perez,Finance,71432.61
137,Alicia Tyler,Operations,90742.73
138,Robert Olson,Marketing,48313.32
139,Kayla Bennett,Finance,119504.26
140,Samantha Wagner,Marketing,107750.96
141,Anthony Daugherty,Finance,128405.79
142,Joann Jordan,IT,137618.13
143,Brittany Williams,HR,78655.33
144,Steven Bowman,HR,74345.42
145,Maurice James,Operations,85396.8
146,Jonathan Garza,Operations,119350.56
147,Jose Stephens,Sales,107989.1
